Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,,
His election victory was a high point in the history of post Civil War Illinois.,03 Conflict,Winner,election,,victory,election,Elections,victory,Competition/Game/Struggle,1686568,,
He couches L'Enfant's plan as a victory of the legislature over the presidency by symbolically placing the CB at the center of the plan.,03 Conflict,Winner,the legislature,victory of [winner] over,victory of over,legislature,Government,victory,Competition/Game/Struggle,153443,,
Once-unlikely win for gun control in Colorado,03 Conflict,Winner,gun control,win for [winner],win for,gun control,Control of Guns,win,Competition/Game/Struggle,2834595,,
We agree that gun control will win because Americans aren't willing to kill over it.,03 Conflict,Winner,gun control,[winner] will win,will win,gun control,Control of Guns,win,Competition/Game/Struggle,2883743,,
That is why gun control will win.,03 Conflict,Winner,gun control,[winner] will win,will win,gun control,Control of Guns,win,Competition/Game/Struggle,2907636,,
MILLER: Second Amendment crumbling as gun control victories spread,03 Conflict,Winner,gun control,[winner] victories,victories,gun control,Control of Guns,victories,Competition/War,NA,,
"Now it seems even attempts to turn the hands back a decade to something like the ""assault weapon"" status quo of ten years ago--not exactly an amazing victory of gun control--are likely to fizzle.",03 Conflict,Winner,gun control,,victory,gun control,Control of Guns,victory,Competition/War,3123573,,
Attributing the victory of the Obama campaign to the hundreds of thousands of supporters who came together to achieve change is a lie.,03 Conflict,Winner,Obama campaign,,victory,Obama campaign,Elections,victory,Competition/War,3119164,,
Our state government victory can mean a great deal -- if we have the wisdom and courage to use this power to show the real difference between the Party of Obama and the Party of Liberty.,03 Conflict,Winner,Government,,victory,government,Government,victory,Competition/War,3120221,,
It took more than a century-and-a-half to do it; and yet anyone might have foretold the ultimate victory of government because it always had the skill and the means to keep people on its side.,03 Conflict,Winner,government,,Victory,government,Government,victory,Competition/War,3120224,,
"The great folks at the Cato Institute explain their important, recent 2nd Amendment victory  in Washington DC in this ten-minute podcast.",03 Conflict,Winner,2nd Amendment,,victory,2nd Amendment,Gun Rights,victory,Competition/War,3123834,,
He got his little taxation victory over the so called fiscal cliff when they raised taxes on people making over $400K but he got kicked in the balls on any tax highs for the sequestration.,03 Conflict,Winner,taxation,,victory,taxation,Taxation,victory,Competition/War,3125299,,
Inequalities created by the victory of wealth continue to trouble the serenity of this social harmony.,03 Conflict,Winner,wealth,,victory,wealth,Wealth,victory,Competition/War,3122740,,
"Meanwhile, the Qatar bid has been widely labeled a victory for wealth and influence over commonsense.",03 Conflict,Winner,wealth,,victory,wealth,Wealth,victory,Competition/War,3125376,,
"Calling the Brady bill's passage (front page, May 9) a victory of gun control over the dominance of the National Rifle Assn. is like reveling in a 12-1 Dodger loss because Darryl Strawberry hit a solo homer.",03 Conflict,Winner,gun control,,victory,gun control,Control of Guns,victory,Game,2377470,,
"I don't consider this a ""gun control victory"" per se.",03 Conflict,Winner,gun control,[winner] victory,victory,gun control,Control of Guns,victory,Game,2377473,,
"In the stampede to celebrate the victory of gun rights, many conservatives failed to consider the peculiar nature of the victory: the decision, authored by the Court's most outspoken opponent of judicial activism (at least theoretically), struck down a law passed by democratically elected representatives of the District of Columbia.",03 Conflict,Winner,gun rights,,victory,gun rights,Gun Rights,victory,Game,2377479,,
I am more worried that all this victory for guns is going to lead to a shadow assault on ammunition.,03 Conflict,Winner,guns,,victory,guns,Guns,victory,Game,2377482,,
"He had discovered the secret of turning the victory of poverty, the victory of sorrow, the victory of defeat and disappointment, the victory of death, into an imperial triumph to his own moral and spiritual life.",03 Conflict,Winner,poverty,,victory,poverty,Poverty,victory,Game,2378211,,
"The caption, ""Democracy Wins,"" became a popular meme amid the liberal euphoria that broke out on election night.",03 Conflict,Winner,Democracy,,Wins,Democracy,Democracy,Wins,Game,761004,,
Poverty wins every game.,03 Conflict,Winner,Poverty,,wins,Poverty,Poverty,wins,Game,2378210,,
"When liberals turn on each other because of failure in the Senate, the Senate wins.",03 Conflict,Winner,Senate,,wins,Senate,Government,wins,Game/War,1973554,,
I was raised with gun safety constantly being beat into my brain.,03 Conflict,Winner,gun safety,,beat,gun safety,Guns,beat,Physical Harm,2738702,,
"The unqualified arrogance of last week's letter from Michael Crowley was astounding (""Democracy Defeats Terrorism,"" issue of Dec. 1-7).",03 Conflict,Winner,Democracy,,Defeats,Democracy,Democracy,Defeats,Struggle,156085,,
It is a huge psychological victory for gun control and government that literally spells the end of firearm ownership when all opposition accepts gun control.,03 Conflict,Winner,gun control,,victory,gun control,Control of Guns,victory,Struggle,2724904,,
"The top story is about the victory of progressive taxation with the fiscal cliff, the next one is some pro-SSM ""marriage equality"" bull**** and the one following is essentially about wanting a more progressive president and saying Obama is falling short of that.",03 Conflict,Winner,taxation,,victory,taxation,Taxation,victory,Struggle,2669018,,
"Yesterday, Mom's Demand Action and Everytown for Gun Safety, the conjoined gun control cult bought and paid for by the miniature billionaire, claimed that there have [...]",04 Power and Control: God,God,gun control,,cult,gun control,Control of Guns,cult,A God,3710125,,
Trying to discuss the issue with the gun cult is pointless.,04 Power and Control: God,God,gun,[god] cult,cult,gun,Guns,cult,A God,2119257,,
"Then provide drive by comments about ""stooges"" and ""gun cult.""",04 Power and Control: God,God,gun,,cult,gun,Guns,cult,A God,2119300,,
The gun cult have made rationalization an art form.,04 Power and Control: God,God,gun,,cult,gun,Guns,cult,A God,2120396,,
I first bumped-into the internet gun cult in 1994 on USENET in talk.politics.guns.,04 Power and Control: God,God,gun,[god] cult,cult,gun,Guns,cult,A God,2120442,,
The gun cult and their stooges won't allow it to be released.,04 Power and Control: God,God,gun,,cult,gun,Guns,cult,A God,2127385,,
"Such is the downright satanic power of the gun cult in this country, however, that Martinez may as well never have spoken.",04 Power and Control: God,God,gun,,cult,gun,Guns,cult,A God,3123867,,
It was also bestowed on the libraries; then our divine city council pawned them off.,04 Power and Control: God,God,city council,,divine,city council,Government,divine,A God,1973222,,
Don't forget the meds for boys to make them sit quietly in their chairs and listen to the teacher (or not play cowboys and indians at recess because it glorifies guns!),04 Power and Control: God,God,guns,,glorifies,guns,Guns,glorifies,A God,3710097,,
"Most other organisation do the same, Sell guns, glorify guns, promote guns, promote sports, training and membership.",04 Power and Control: God,God,guns,,glorify,guns,Guns,glorify,A God,2169496,,
I won't glorify guns beyond that.,04 Power and Control: God,God,guns,,glorify,guns,Guns,glorify,A God,2665617,,
"It doesn't glorify guns at all, but it at least makes kids think about how they would react should they ever come across one.",04 Power and Control: God,God,guns,,glorify,guns,Guns,glorify,A God,3772049,,
It is not for me to glorify poverty and condemn affluence.,04 Power and Control: God,God,poverty,,glorify,poverty,Poverty,glorify,A God,159300,,
What protecting and glorifying guns does is degrade and diminish the importance of the right.,04 Power and Control: God,God,guns,,glorifying,guns,Guns,glorifying,A God,2116857,,
"It is also not the objective of firearm organisations who could only bother to protect sports, shooting, guns, training - promoting and glorifying guns.",04 Power and Control: God,God,guns,,glorifying,guns,Guns,glorifying,A God,2116874,,
Be careful of glorifying guns though.,04 Power and Control: God,God,guns,,glorifying,guns,Guns,glorifying,A God,2129240,,
"People who divert attention from our rights to selling, promoting and glorifying guns are simply doing gun controls work for them.",04 Power and Control: God,God,guns,,glorifying,guns,Guns,glorifying,A God,2180658,,
"I'm not sure that glorifying the wealthy, as I understand her claim, is any worse than farm boy is secretly heir to throne.",04 Power and Control: God,God,wealthy,,glorifying,wealthy,Wealth,glorifying,A God,2321959,,
"Democracy is not a god, democracy is a vehicle, a system, a possibility, and just like any structure, it has its dark side too, as we say in Arabic: ""adimoukratiyya laha anyab"", in this case, it becomes a god that devours his children !",04 Power and Control: God,God,Democracy,,god,Democracy,Democracy,god,A God,2673846,,
I don't believe that elections are God.,04 Power and Control: God,God,elections,,God,elections,Elections,God,A God,3118462,,
The fact that the gun is a reverenced god can be seen in its manifold and apparently resistless powers.,04 Power and Control: God,God,gun,,god,gun,Guns,god,A God,2376878,,
For a Republic that seems to idolize Democracy our work places remain almost consistently autocratic.,04 Power and Control: God,God,Democracy,idolize [god],idolize,Democracy,Democracy,idolize,A God,760277,,
People in other countries are amazed as to how some people in the USA idolize the gun as some writers here do.,04 Power and Control: God,God,the gun,idolize [god],idolize,gun,Guns,idolize,A God,NA,,
On the other hand when guns become idols we can document how their presence transforms the personalities of individuals and entire communities.‰Û,04 Power and Control: God,God,guns,[god] become idols,become idols,guns,Guns,idols,A God,2376882,,
He finds that providing readers with a corrective information to dispel an Obamacare myth can actually strengthen belief in death panels.,04 Power and Control: God,God,Obamacare,,myth,Obamacare,Bureaucracy,myth,A God,3120651,,
"Much has been written by poets and dreamers in praise of poverty, and the love of money has been denounced as the root of all evil, but the fact remains that, honestly acquired and wisely employed, there is no form of power so substantial, positive and palpable as that which accompanies the possession of money.",04 Power and Control: God,God,poverty,,praise,poverty,Poverty,praise,A God,130129,,
"Of course, whomever was responsible for 911 should be brought to justice, as individuals, for isn't the emphasis on individuality supposed to be a tenet of our democracy religion?",04 Power and Control: God,God,democracy,,religion,democracy,Democracy,religion,A God,2097693,,
"3) And finally, all of what Obama is doing flies in the face of, and gives the middle finger to, both the 5th Amendment and the 14th Amendment of our sacred Constitution.",04 Power and Control: God,God,Constitution,,sacred,Constitution,Democracy/Government,sacred,A God,3517859,,
How would such requirements violate your sacred 2nd Amendment?,04 Power and Control: God,God,2nd amendment,,sacred,2nd amendment,Gun Rights,sacred,A God,3786564,,
Either way Reagan is the one who started it and now your sacred gun rights are hurt because of it.,04 Power and Control: God,God,gun rights,,sacred,gun rights,Gun Rights,sacred,A God,2121688,,
The recent Colorado killings gave liberals yet more ammunition (pardon the pun) to threaten our sacred gun rights.,04 Power and Control: God,God,gun rights,,sacred,gun rights,Gun Rights,sacred,A God,3123615,,
"By the way... let me tell you just a bit about why I'm so attached to my ""sacred guns"".... 1.",04 Power and Control: God,God,guns,,sacred,guns,Guns,sacred,A God,2121234,,
It may have not but in the case up here in Seattle everyone knew the gunman was a crzy nut including His family.I say that if the mental health sysyem would have acted and at least made it impossible for Him to buy guns the shooting may not have happened.If we stop just one mass killing it would be worth it it change the law and you cowboys could still but your sacred guns unless you where crazy.,04 Power and Control: God,God,guns,,sacred,guns,Guns,sacred,A God,2121284,,
I am not saying I want to take you sacred guns away.I am just saying that there has to be a better way to buy and sell guns.I agree this shooting in Col. could not have been stopped but the one up here in Seattle could have because everyone knew the shooter was crazy and so was the one who shot Giffard.,04 Power and Control: God,God,guns,,sacred,guns,Guns,sacred,A God,2121290,,
We are not taking your sacred guns away just trying to find away to keep AK-47's and AR-15's out of the hands of crazy fools.,04 Power and Control: God,God,guns,sacred [god],sacred,guns,Guns,sacred,A God,2121669,,
The gun freaks act like we are trying to take their sacred guns away when I have not heard the president say that.,04 Power and Control: God,God,guns,,sacred,guns,Guns,sacred,A God,2143922,,
It allows the Wookies to venerate nature and the senators to venerate bureaucracy.,04 Power and Control: God,God,bureaucracy,,venerate,bureaucracy,Bureaucracy,venerate,A God,2007380,,
One aspect of Christianity that naturally gets neglected is its veneration of poverty.,04 Power and Control: God,God,poverty,,veneration,poverty,Poverty,veneration,A God,2377244,,
"By romanticizing, he means the veneration of taxation or, as is often pushed by the modern left, the sentiment best spoken by Justice Oliver Wendell Holmes, ""Taxes are the price we pay for civilized society"".",04 Power and Control: God,God,taxation,,veneration,taxation,Taxation,veneration,A God,2377283,,
"lthough no one is required to literally worship the State or its rulers, this society is held together by the veneration of wealth and the exercise of political power.",04 Power and Control: God,God,wealth,,veneration,wealth,Wealth,veneration,A God,2377326,,
The National coordination of other state Guard units was CRIMINAL in it's worship of red tape above cooperation in a crisis situation.,04 Power and Control: God,God,red tape,,worship,red tape,Bureaucracy,worship,A God,2007382,,
If even a tenth of the current military has the lack of morals to try and suppress the peoples of this country (hopefully to be many small countries in the end) I personally hope they rot in whatever hell you believe in along with the statist ninnies who worship gun control and the bully-by-proxy government we suffer with now.,04 Power and Control: God,God,gun control,worship [god],worship,gun control,Control of Guns,worship,A God,2376886,,
"History has many examples of lives lost last century, sacrificed to this worship of gun control. politics TAGS: battaile",04 Power and Control: God,God,gun control,,worship,gun control,Control of Guns,worship,A God,2376887,,
"Indeed Buchanan goes further than liberals ever did, attacking what he calls ""the Democratist temptation, the worship of democracy"" as ""a false god.""",04 Power and Control: God,God,democracy,,worship,democracy,Democracy,worship,A God,155939,,
"Yet such is the power of democracy worship, this secular religion, to blind people to the evidence of their own eyes that virtually every Western leader favored one-man, one-vote democracy in Rhodesia.",04 Power and Control: God,God,democracy,,worship,democracy,Democracy,worship,A God,761396,,
You've been taught to worship democracy.,04 Power and Control: God,God,democracy,,worship,democracy,Democracy,worship,A God,1522660,,
Has CSM joined modern liberals in their elevation and worship of elections as determinants of morality to the exclusion of God and reason?,04 Power and Control: God,God,elections,,worship,elections,Elections,worship,A God,2377487,,
"Yet, adopting the Official History and hagiography of our constructivist, utopian Founders, they worship the Constitution anyway, even though it was a coup d'etat, even though slavery was permitted, even though it was an illegal, unnecessary, centralizing power play by politicians (see Rockwell on Hoppe on the Constitution as Expansion of Government Power), even though it arguably led to the Civil War, WWI, the collapse of western monarchies and the regressive replacement of traditionalist limited monarchy with socialized democracy, WWII, Naziism, Communism, the Holocaust, Nagasaki, Hiroshima, and the Cold War (see my When Did the Trouble Start?)",04 Power and Control: God,God,Constitution,,worship,Constitution,Government,worship,A God,1973223,,
"Communism is a system with a totalitarian, absolutist government that rules over everyone's lives, and this must be the natural form of government for people who worship the government.",04 Power and Control: God,God,government,,worship,government,Government,worship,A God,152399,,
"It is argued that since atheists worship humanity, and since human government is the highest human institution, then atheists must worship government.",04 Power and Control: God,God,government,,worship,government,Government,worship,A God,152400,,
Americans worship gun rights like they are scripture O_o,04 Power and Control: God,God,gun rights,,worship,gun rights,Gun Rights,worship,A God,2376883,,
"Your worship of gun rights and insistence that they remain available to the public at large costs tens of thousands of American lives every year, and forces people like me to live in fear every time we leave the safety of our own homes.",04 Power and Control: God,God,gun rights,worship of [god],worship of,gun rights,Gun Rights,worship,A God,2376884,,
Turtle - I fully realize that the sycophants and toadies of the gun lobby are dead set against my idea since it might cause some to have a negative feeling about these unnecessary deaths and worship of the almighty firearm is akin to a religion here for some.,04 Power and Control: God,God,firearm,,worship,firearm,Guns,worship,A God,2153153,,
The Japanese don't share our fanatical devotion and worship of gun ownership.,04 Power and Control: God,God,gun ownership,,worship,gun ownership,Guns,worship,A God,3124414,,
I don't worship guns and I've never felt my right to own firearms was under any sort of credible attack.,04 Power and Control: God,God,guns,,worship,guns,Guns,worship,A God,2672269,,
"Together with their new-found wealth, many Thais quickly shifted from their rustic, culturally-knitted lifestyle to pursue materialism and the worship of money.",04 Power and Control: God,God,money,,worship,money,Wealth,worship,A God,2796587,,
This country could use alot more of that for sure but it is clear to me the GOP has taken wealth worship to a new level and it is not a balenced aproach.,04 Power and Control: God,God,wealth,,worship,wealth,Wealth,worship,A God,31674,,
"If you really want to give credit where credit is due, when it comes to wealth worship. look to right wing talk radio.",04 Power and Control: God,God,wealth,,worship,wealth,Wealth,worship,A God,2377312,,
Is that most of your fellow gun worshippers?,04 Power and Control: God,God,gun,,worshippers,gun,Guns,worshippers,A God,2119209,,
"Never mind that democracy is another name for mob rule, a tyranny of the majority, but this shallow ideology worships elections at the expense of reason and consequences.",04 Power and Control: God,God,elections,,worships,elections,Elections,worships,A God,2377484,,
Not everyone worships firearms like they have some right-to-life.,04 Power and Control: God,God,firearms,,worships,firearms,Guns,worships,A God,2179649,,
Our culture is one that worships poverty and crime.,04 Power and Control: God,God,poverty,,worships,poverty,Poverty,worships,A God,2377238,,
Trying to discuss the issue with the gun cult is pointless.,04 Power and Control: God,Legit,FALSE,NA,cult,gun,Guns,cult,A God,2119257,,
I first bumped-into the internet gun cult in 1994 on USENET in talk.politics.guns.,04 Power and Control: God,Legit,FALSE,NA,cult,gun,Guns,cult,A God,NA,,
It was also bestowed on the libraries; then our divine city council pawned them off.,04 Power and Control: God,Legit,TRUE,NA,divine,city council,Government,divine,A God,1973222,,
I won't glorify guns beyond that.,04 Power and Control: God,Legit,guns,,glorify,guns,Guns,glorify,A God,2665617,,
"It doesn't glorify guns at all, but it at least makes kids think about how they would react should they ever come across one.",04 Power and Control: God,Legit,guns,,glorify,guns,Guns,glorify,A God,3772049,,
Be careful of glorifying guns though.,04 Power and Control: God,Legit,guns,,glorifying,guns,Guns,glorifying,A God,2129240,,
"People who divert attention from our rights to selling, promoting and glorifying guns are simply doing gun controls work for them.",04 Power and Control: God,Legit,guns,,glorifying,guns,Guns,glorifying,A God,2180658,,
"By the way... let me tell you just a bit about why I'm so attached to my ""sacred guns"".... 1.",04 Power and Control: God,Legit,guns,,sacred,guns,Guns,sacred,A God,2121234,,
It may have not but in the case up here in Seattle everyone knew the gunman was a crzy nut including His family.I say that if the mental health sysyem would have acted and at least made it impossible for Him to buy guns the shooting may not have happened.If we stop just one mass killing it would be worth it it change the law and you cowboys could still but your sacred guns unless you where crazy.,04 Power and Control: God,Legit,guns,,sacred,guns,Guns,sacred,A God,2121284,,
We are not taking your sacred guns away just trying to find away to keep AK-47's and AR-15's out of the hands of crazy fools.,04 Power and Control: God,Legit,guns,,sacred,guns,Guns,sacred,A God,2121669,,
If even a tenth of the current military has the lack of morals to try and suppress the peoples of this country (hopefully to be many small countries in the end) I personally hope they rot in whatever hell you believe in along with the statist ninnies who worship gun control and the bully-by-proxy government we suffer with now.,04 Power and Control: God,Legit,FALSE,NA,worship,gun control,Control of Guns,worship,A God,2376886,,
"Yet such is the power of democracy worship, this secular religion, to blind people to the evidence of their own eyes that virtually every Western leader favored one-man, one-vote democracy in Rhodesia.",04 Power and Control: God,Legit,democracy,,worship,democracy,Democracy,worship,A God,761396,,
Our culture is one that worships poverty and crime.,04 Power and Control: God,Legit,poverty,,worships,poverty,Poverty,worships,A God,2377238,,
Trying to discuss the issue with the gun cult is pointless.,04 Power and Control: God,Worshipper,the gun cult,* cult,cult,gun,Guns,cult,A God,2119257,,
I first bumped-into the internet gun cult in 1994 on USENET in talk.politics.guns.,04 Power and Control: God,Worshipper,the internet gun cult,* cult,cult,gun,Guns,cult,A God,NA,,
For a Republic that seems to idolize Democracy our work places remain almost consistently autocratic.,04 Power and Control: God,Worshipper,a Republic,[worshipper] idolize,idolize,Democracy,Democracy,idolize,A God,760277,,
People in other countries are amazed as to how some people in the USA idolize the gun as some writers here do.,04 Power and Control: God,Worshipper,people,[worshipper] idolize,idolize,gun,Guns,idolize,A God,NA,,
On the other hand when guns become idols we can document how their presence transforms the personalities of individuals and entire communities.‰Û,04 Power and Control: God,Worshipper,individuals and entire communities,NA,NA,guns,Guns,idols,A God,2376882,,
Not sure if that qualifies as a gun myth but its certainly mythical (see what I did there?),04 Power and Control: God,Worshipper,gun,,myth,gun,Guns,myth,A God,3124591,,
I'm tempted to say gun control is an ideologically based religion with many duped believers.,04 Power and Control: God,Worshipper,believers,NA,believers,gun control,Control of Guns,religion,A God,NA,,
Gun control enslaves free people,04 Power and Control: Human,Degree,HIGH,NA,enslaves,Gun control,Control of Guns,enslaves,Enslavement,2377218,,
"There's a way to be progressive about our gun rights but saying gun oppression should be equalized with ethnic oppression is uncalled for, especially given the two are apples and oranges anyway.",04 Power and Control: Human,Degree,LOW,NA,oppression,gun,Guns,oppression,Enslavement,NA,,
The original group that employed Democracy (Athens) was eventually destroyed by their neighbors.,04 Power and Control: Human,Degree,LOW,NA,employed,Democracy,Democracy,employed,Servant,155993,,
He had no choice but to obey the gun and carry out what the gun made him do So how come Oscar is being charged and not the dangerous gun that made him do it?,04 Power and Control: Human,Leader,gun,,obey,gun,Guns,obey,A God/Enslavement/Servant,2670428,,
"Emiliano Zapata (Marlon Brando), a Mexican Indian from Morelos, joins forces with Pancho Villa (Alan Reed) to overthrow the corrupt Mexican government.",04 Power and Control: Human,Leader,government,,corrupt,government,Government,corrupt,Contamination,2092954,,
Freeing our society from the bondage of government requires a love of freedom greater than the love of selfish desire.,04 Power and Control: Human,Leader,government,,bondage,government,Government,bondage,Enslavement,761876,,
Instead we watch gun control command the media filling every mind in the world with its hatred and fear of guns.,04 Power and Control: Human,Leader,gun control,[leader] command,command,gun control,Control of Guns,command,Enslavement,NA,,
"If money and advocacy was all it took, then the pro gun control dominance in the press, the millions from the Bloombergs of the world, and the celebrity faces of Hollywood should easily defeat the NRA.",04 Power and Control: Human,Leader,pro gun control,[leader] dominance,dominance,gun control,Control of Guns,dominance,Enslavement,2377214,,
"Well, let me say first, that I think we're all advocating for change; we all want to change the status quo, which is George Bush and the Republican domination of Washington for so many years.",04 Power and Control: Human,Leader,Republican,,domination,Republican,Government,domination,Enslavement,2588691,,
For you financial domination equals tax domination.,04 Power and Control: Human,Leader,tax,,domination,tax,Taxation,domination,Enslavement,1971461,,
Guns enslave a hell of a lot more frequently than they liberate.,04 Power and Control: Human,Leader,Guns,,enslave,Guns,Guns,enslave,Enslavement,2377209,,
I would argue that these taxes enslave us to the government.,04 Power and Control: Human,Leader,taxes,,enslave,taxes,Taxation,enslave,Enslavement,159453,,
Gun control enslaves free people,04 Power and Control: Human,Leader,Gun control,,enslaves,Gun control,Control of Guns,enslaves,Enslavement,2377218,,
"They call it ""slavery"" when Wal-Mart offers workers better opportunities than they could find elsewhere, and ""justice"" when government enslaves me by forcibly taking 70% of the fruits of my labor.",04 Power and Control: Human,Leader,government,,enslaves,government,Government,enslaves,Enslavement,761874,,
ACE supports entrepreneurial enterprise in the nations where poverty enslaves the majority of the population.,04 Power and Control: Human,Leader,poverty,,enslaves,poverty,Poverty,enslaves,Enslavement,761563,,
And so there come beggars in our streets and tramps on our roads; and poverty enslaves men who we boast are political sovereigns;,04 Power and Control: Human,Leader,poverty,,enslaves,poverty,Poverty,enslaves,Enslavement,3125005,,
"Wealth doesn't provide freedom for them, wealth enslaves them.",04 Power and Control: Human,Leader,wealth,,enslaves,wealth,Wealth,enslaves,Enslavement,2378158,,
The unelected civil bureaucracy oppresses the mom and pop businesses which are the backbone of this country.,04 Power and Control: Human,Leader,bureaucracy,,oppresses,bureaucracy,Bureaucracy,oppresses,Enslavement,152578,,
"The way he reduced the issue to some simple-minded, Star Wars-like epic in which the evil white City Council oppresses the helpless black community made me ill.",04 Power and Control: Human,Leader,City Council,,oppresses,City Council,Government,oppresses,Enslavement,1973549,,
No. I don't believe that wealth oppresses people.,04 Power and Control: Human,Leader,wealth,,oppresses,wealth,Wealth,oppresses,Enslavement,2378160,,
"In Colorado the reps dealt with a majority of angry citizens telling them firearms were a red line and they passed oppressive gun control anyway, in situations where the people feel that slighted I have no problem with a recall election.",04 Power and Control: Human,Leader,gun control,NA,NA,gun control,Control of Guns,oppressive,Enslavement,2161619,,
0 0 Manifesting Abundance - Are You a Slave to Poverty?,04 Power and Control: Human,Leader,Poverty,,Slave,Poverty,Poverty,Slave,Enslavement,761560,,
Understanding each type of plenary power and their affect on tribes will better explain how U.S. democracy oppresses Indians rather than protect them.,04 Power and Control: Human,Leader,democracy,,oppresses,democracy,Democracy,oppresses,Enslavement/Crime,155979,,
"Guns dominate his thoughts, if you can consider such a subservient zombie to the NRA a thinking individual.",04 Power and Control: Human,Leader,Guns,,dominate,Guns,Guns,dominate,Enslavement/Leader,3123963,,
"Democracy hasn't saved many of these counties, so why must the United States continue to persist in democracy domination of the world?",04 Power and Control: Human,Leader,democracy,,domination,democracy,Democracy,domination,Enslavement/Leader,1966953,,
Following the 2010 Congressional election domination by the Republicans it seemed all but likely that the trend would continue over the next few yeas and Obama would likely be defeated.,04 Power and Control: Human,Leader,election,,domination,election,Elections,domination,Enslavement/Leader,3118864,,
"This new tax system exploits the poor!""",04 Power and Control: Human,Leader,tax system,,exploits,tax system,Taxation,exploits,Physical Harm,2146249,,
It would be truer to say that taxation exploits a helpless market of often impoverished people who insist on consuming their drug or potion irrespective of price.,04 Power and Control: Human,Leader,taxation,,exploits,taxation,Taxation,exploits,Resource/Theft,2007218,,
"Guns prevent crime, guns assist crime, guns cause accidental deaths, guns turn minor disagreement into a deadly encounters.",04 Power and Control: Human,Leader,crime,assist [leader],assist,guns,Guns,assist,Servant,2156127,,
Do you think the taxpayer is best served?,04 Power and Control: Human,Leader,taxpayer,[leader] is * served,is best served,taxpayer,Taxpayers,served,Servant,2173502,,
"All were asking of our Government is to match our level of concern and make sure our taxes are supporting the clean energy solutions, not the problem.",04 Power and Control: Human,Servant,taxes,,supporting,taxes,Taxes,supporting,Building,124416,,
"When this is the case, the government can provide that service instead by being a monopoly that can attain savings by using economies of scale.",04 Power and Control: Human,Servant,government,,provide,government,Government,provide,Business,2672668,,
Our democracy provides access to the courts.,04 Power and Control: Human,Servant,democracy,,provides,democracy,Democracy,provides,Business/Servant,761183,,
Instead we watch gun control command the media filling every mind in the world with its hatred and fear of guns.,04 Power and Control: Human,Servant,servant,command [servant],command,gun control,Control of Guns,command,Enslavement,NA,,
"If money and advocacy was all it took, then the pro gun control dominance in the press, the millions from the Bloombergs of the world, and the celebrity faces of Hollywood should easily defeat the NRA.",04 Power and Control: Human,Servant,NRA,NA,NA,gun control,Control of Guns,dominance,Enslavement,2377214,,
"In Colorado the reps dealt with a majority of angry citizens telling them firearms were a red line and they passed oppressive gun control anyway, in situations where the people feel that slighted I have no problem with a recall election.",04 Power and Control: Human,Servant,angry citizens,NA,NA,gun control,Control of Guns,oppressive,Enslavement,2161619,,
But even if it did the feminist exploitation of the bureaucracy scarcely justifies a distortion of the law as originally intended.,04 Power and Control: Human,Servant,bureaucracy,,exploitation,bureaucracy,Bureaucracy,exploitation,Resource,2377555,,
The Muslim Brotherhood favored exploitation of democracy to destroy democracy; and Salifah,04 Power and Control: Human,Servant,democracy,,exploitation,democracy,Democracy,exploitation,Resource,761371,,
A sound tax policies based upon fairness rather than the exploitation of taxation to reward cronies would do much to restore the dollar in foreign markets.,04 Power and Control: Human,Servant,taxation,,exploitation,taxation,Taxation,exploitation,Resource,1973736,,
"Guns prevent crime, guns assist crime, guns cause accidental deaths, guns turn minor disagreement into a deadly encounters.",04 Power and Control: Human,Servant,guns,[servant] assist,assist,guns,Guns,assist,Servant,2156127,,
The re-election of President Chavez would facilitate the democratization of the economy through nationalization and socialization.,04 Power and Control: Human,Servant,re-election,,facilitate,re-election,Elections,facilitate,Servant,2673964,,
Your firearms helped define your life.,04 Power and Control: Human,Servant,firearms,,helped,firearms,Guns,helped,Servant,2419557,,
"A gun wouldn't have helped this man unless he was psychotic, though.",04 Power and Control: Human,Servant,gun,,helped,gun,Guns,helped,Servant,2669131,,
The church needs to clean up it's own closet AND backyard and fully remain OUT of the gun control business!!!,05 Engineering and Business: Business,Business,gun control,the [business] business,the gun control business,gun control,Control of Guns,business,Business,2376995,,
"Texas (like Alaska) is smart enough to tax oil extraction in the state, and these companies are leeching off of California, relying on the acerebral opposition of the California Republican Party to a tax on extracted oil (the typically hypocritical anti-tax extremist, Sarah Palin, raised Alaska's tax during her curtailed stint as governor), and their own ability to buy votes through heavy advertising.",05 Engineering and Business: Business,Business,votes,,buy,votes,Elections,buy,Business,155542,,
"The GOP, however, does have pretty good record, if you will with buying elections, with massive negative ad spending, and have good grass roots fundraising even when the RNC is lacking focus on them.",05 Engineering and Business: Business,Business,elections,,buying,elections,Elections,buying,Business,2129699,,
Firearm owners are doing gun controls job for them by replacing the right with an object claiming it will give safety.,05 Engineering and Business: Business,Business,gun controls,,job,gun controls,Control of Guns,job,Business,2116869,,
Do we not belong to the restaurant of Democracy?,05 Engineering and Business: Business,Business,Democracy,,restaurant,Democracy,Democracy,restaurant,Business,3118209,,
Does my industry think guns sell movies?,05 Engineering and Business: Business,Business,guns,,sell,guns,Guns,sell,Business,3123907,,
Gun control is selling perceived safety by scare tactics and making people afraid.,05 Engineering and Business: Business,Business,Gun control,,selling,Gun control,Control of Guns,selling,Business,2903013,,
